dataset,consensus_umis,rescued_singletons,direct_singletons_without_rescue,singleton_addition_to_extraction,consensus_plus_rescue,extraction_input,delta
DMF5,14605529,1360535,0,1360535,15966064,15966064,0
TCRA3,83588684,36925819,0,36925819,120514503,120514503,0
