dataset,peptide,n_variants,source_file,label_metric,variant_count,label_class
TCRA3,KH157,162324,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,66316,Non-specific (label 0)
DMF5,DRG01,218326,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,137279,Ambiguous/other (label 2)
DMF5,DRG04,219283,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,133636,Ambiguous/other (label 2)
DMF5,GIG01,221751,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,134826,Ambiguous/other (label 2)
DMF5,GIG03,218998,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,138676,Ambiguous/other (label 2)
DMF5,GIG04,215680,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,139454,Ambiguous/other (label 2)
DMF5,GIG05,221723,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_2,135464,Ambiguous/other (label 2)
TCRA3,KH158,141276,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,103729,Ambiguous/other (label 2)
TCRA3,KH159,150186,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,104067,Ambiguous/other (label 2)
TCRA3,KH160,135350,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,101399,Ambiguous/other (label 2)
TCRA3,KH163,138970,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,103546,Ambiguous/other (label 2)
TCRA3,KH164,124312,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,110674,Ambiguous/other (label 2)
TCRA3,KH165,152121,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,101433,Ambiguous/other (label 2)
TCRA3,KH167,157315,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,101119,Ambiguous/other (label 2)
TCRA3,MAGE-A3,144448,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,99819,Ambiguous/other (label 2)
TCRA3,Titin,137758,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,105964,Ambiguous/other (label 2)
TCRA3,KH157,162324,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_2,91731,Ambiguous/other (label 2)
