sample_id	sample_name	run_depth	lane	read	fastq
GFB-64257	DMF5CDR3bGIG012xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154303720-280417/original/GFB-64257_2524611701_1_DMF5CDR3bGIG012xpositive/raw_data/GFB-64257_2524611701_1_DMF5CDR3bGIG012xpositive_S13_L001_R1_001.fastq.gz
GFB-64257	DMF5CDR3bGIG012xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154318135-280423/original/GFB-64257_2524611701_2_DMF5CDR3bGIG012xpositive/raw_data/GFB-64257_2524611701_2_DMF5CDR3bGIG012xpositive_S13_L002_R1_001.fastq.gz
GFB-64258	DMF5CDR3bGIG032xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154231599-280409/original/GFB-64258_2524611701_1_DMF5CDR3bGIG032xpositive/raw_data/GFB-64258_2524611701_1_DMF5CDR3bGIG032xpositive_S14_L001_R1_001.fastq.gz
GFB-64258	DMF5CDR3bGIG032xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154259782-280416/original/GFB-64258_2524611701_2_DMF5CDR3bGIG032xpositive/raw_data/GFB-64258_2524611701_2_DMF5CDR3bGIG032xpositive_S14_L002_R1_001.fastq.gz
GFB-64259	DMF5CDR3bGIG042xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154251974-280414/original/GFB-64259_2524611701_1_DMF5CDR3bGIG042xpositive/raw_data/GFB-64259_2524611701_1_DMF5CDR3bGIG042xpositive_S15_L001_R1_001.fastq.gz
GFB-64259	DMF5CDR3bGIG042xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154323136-280426/original/GFB-64259_2524611701_2_DMF5CDR3bGIG042xpositive/raw_data/GFB-64259_2524611701_2_DMF5CDR3bGIG042xpositive_S15_L002_R1_001.fastq.gz
GFB-64260	DMF5CDR3bGIG052xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154308954-280419/original/GFB-64260_2524611701_1_DMF5CDR3bGIG052xpositive/raw_data/GFB-64260_2524611701_1_DMF5CDR3bGIG052xpositive_S16_L001_R1_001.fastq.gz
GFB-64260	DMF5CDR3bGIG052xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154256175-280415/original/GFB-64260_2524611701_2_DMF5CDR3bGIG052xpositive/raw_data/GFB-64260_2524611701_2_DMF5CDR3bGIG052xpositive_S16_L002_R1_001.fastq.gz
GFB-64261	DMF5CDR3bDRG012xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154155257-280401/original/GFB-64261_2524611701_1_DMF5CDR3bDRG012xpositive/raw_data/GFB-64261_2524611701_1_DMF5CDR3bDRG012xpositive_S17_L001_R1_001.fastq.gz
GFB-64261	DMF5CDR3bDRG012xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154203318-280403/original/GFB-64261_2524611701_2_DMF5CDR3bDRG012xpositive/raw_data/GFB-64261_2524611701_2_DMF5CDR3bDRG012xpositive_S17_L002_R1_001.fastq.gz
GFB-64262	DMF5CDR3bDRG042xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154414980-280433/original/GFB-64262_2524611701_1_DMF5CDR3bDRG042xpositive/raw_data/GFB-64262_2524611701_1_DMF5CDR3bDRG042xpositive_S18_L001_R1_001.fastq.gz
GFB-64262	DMF5CDR3bDRG042xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154413476-280432/original/GFB-64262_2524611701_2_DMF5CDR3bDRG042xpositive/raw_data/GFB-64262_2524611701_2_DMF5CDR3bDRG042xpositive_S18_L002_R1_001.fastq.gz
GFB-64263	DMF5CDR3borilib		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154528678-280435/original/GFB-64263_2524611701_1_DMF5CDR3borilib/raw_data/GFB-64263_2524611701_1_DMF5CDR3borilib_S19_L001_R1_001.fastq.gz
GFB-64263	DMF5CDR3borilib		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154703659-280439/original/GFB-64263_2524611701_2_DMF5CDR3borilib/raw_data/GFB-64263_2524611701_2_DMF5CDR3borilib_S19_L002_R1_001.fastq.gz
