sample_id	sample_name	run_depth	lane	read	fastq
GFB-61820	clibMAGE-A32xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121903386-252209/original/GFB-61820_2510601042_1_clibMAGE-A32xpositive/raw_data/GFB-61820_2510601042_1_clibMAGE-A32xpositive_S10_L001_R1_001.fastq.gz
GFB-61820	clibMAGE-A32xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212539932-252709/original/GFB-61820_2510680936_1_clibMAGE-A32xpositive/raw_data/GFB-61820_2510680936_1_clibMAGE-A32xpositive_S10_L001_R1_001.fastq.gz
GFB-61820	clibMAGE-A32xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122117073-252256/original/GFB-61820_2510601042_2_clibMAGE-A32xpositive/raw_data/GFB-61820_2510601042_2_clibMAGE-A32xpositive_S10_L002_R1_001.fastq.gz
GFB-61820	clibMAGE-A32xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212643888-252747/original/GFB-61820_2510680936_2_clibMAGE-A32xpositive/raw_data/GFB-61820_2510680936_2_clibMAGE-A32xpositive_S10_L002_R1_001.fastq.gz
GFB-61821	clibTitin2xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122017301-252236/original/GFB-61821_2510601042_1_clibTitin2xpositive/raw_data/GFB-61821_2510601042_1_clibTitin2xpositive_S11_L001_R1_001.fastq.gz
GFB-61821	clibTitin2xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212525918-252705/original/GFB-61821_2510680936_1_clibTitin2xpositive/raw_data/GFB-61821_2510680936_1_clibTitin2xpositive_S11_L001_R1_001.fastq.gz
GFB-61821	clibTitin2xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121916622-252219/original/GFB-61821_2510601042_2_clibTitin2xpositive/raw_data/GFB-61821_2510601042_2_clibTitin2xpositive_S11_L002_R1_001.fastq.gz
GFB-61821	clibTitin2xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212542208-252710/original/GFB-61821_2510680936_2_clibTitin2xpositive/raw_data/GFB-61821_2510680936_2_clibTitin2xpositive_S11_L002_R1_001.fastq.gz
GFB-61822	clibMAGE-A33xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122048569-252246/original/GFB-61822_2510601042_1_clibMAGE-A33xpositive/raw_data/GFB-61822_2510601042_1_clibMAGE-A33xpositive_S12_L001_R1_001.fastq.gz
GFB-61822	clibMAGE-A33xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212636485-252742/original/GFB-61822_2510680936_1_clibMAGE-A33xpositive/raw_data/GFB-61822_2510680936_1_clibMAGE-A33xpositive_S12_L001_R1_001.fastq.gz
