sample_id	sample_name	run_depth	lane	read	fastq
GFB-66695	clib-KH157-2x-negative		001	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320153155248-316707/original/GFB-66695_2531467037_1_clib-KH157-2x-negative/raw_data/GFB-66695_2531467037_1_clib-KH157-2x-negative_S1_L001_R1_001.fastq.gz
GFB-66695	clib-KH157-2x-negative		002	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320153420279-316709/original/GFB-66695_2531467037_2_clib-KH157-2x-negative/raw_data/GFB-66695_2531467037_2_clib-KH157-2x-negative_S1_L002_R1_001.fastq.gz
GFB-66696	clib-KH157-3x-positive		001	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320151723908-316694/original/GFB-66696_2531467037_1_clib-KH157-3x-positive/raw_data/GFB-66696_2531467037_1_clib-KH157-3x-positive_S2_L001_R1_001.fastq.gz
GFB-66696	clib-KH157-3x-positive		002	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320151727255-316696/original/GFB-66696_2531467037_2_clib-KH157-3x-positive/raw_data/GFB-66696_2531467037_2_clib-KH157-3x-positive_S2_L002_R1_001.fastq.gz
GFB-66697	clib-KH157-3-1x-positive		001	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320151725488-316695/original/GFB-66697_2531467037_1_clib-KH157-3-1x-positive/raw_data/GFB-66697_2531467037_1_clib-KH157-3-1x-positive_S3_L001_R1_001.fastq.gz
GFB-66697	clib-KH157-3-1x-positive		002	1	/cluster/project/reddy/katja/data/raw/P3569_LUCA-TCRA3_KH157/20260320151728756-316697/original/GFB-66697_2531467037_2_clib-KH157-3-1x-positive/raw_data/GFB-66697_2531467037_2_clib-KH157-3-1x-positive_S3_L002_R1_001.fastq.gz
